name,ticker,cap_tier,sector,sub_segment,close_price,ret_1y,ret_2y,ret_3y,ret_4y,ret_5y,ret_6y,re_mw,re_pct,annual_mu,grid_tariff,solar_cost,unit_shield,annual_shield_cr,primary_model,targets
Adani Green Energy Ltd,ADANIGREEN,Large Cap,Power Utilities & Cleantech,Pure-Play Renewable IPP,1301.3,88.5,95.0,55.4,210.0,580.0,3200.0,11200.0,100.0,21500.0,7.5,3.0,4.5,9675.0,Khavda 30 GW Mega Renewable Energy Park,50 GW Renewable Capacity by 2030
Adani Power,ADANIPOWER,Large Cap,Power Utilities & Cleantech,Renewable Energy & Power,207.2,0.0,15.0,45.0,80.0,125.0,180.0,599.4,30.0,899.1,8.2,3.8,4.4,3956.0,Group Captive Solar & Rooftop PV (SEBI Rank #15),Targeting >55% clean electricity mix
TCS,TCS,Large Cap,IT & Software Services,IT & Digital Services,2304.0,-9.0,-3.0,18.0,44.0,80.0,126.0,416.8,51.0,625.2,9.2,3.6,5.6,3501.1,Group Captive Solar & Rooftop PV (SEBI Rank #6),Targeting >76% clean electricity mix
Tata Power Co Ltd,TATAPOWER,Large Cap,Power Utilities & Cleantech,Utility RE + Group Captive Solar Developer,368.0,-5.3,-23.7,40.3,70.0,131.8,590.4,5500.0,40.0,7200.0,7.8,3.3,4.5,3240.0,Utility RE + Group Captive Solar Developer,100% Clean Energy by 2045
Coal India,COALINDIA,Large Cap,Metals & Mining,Metals & Mining,415.35,18.0,51.0,99.0,152.0,215.0,288.0,384.0,18.0,576.0,8.2,3.8,4.4,2534.4,Group Captive Solar & Rooftop PV (SEBI Rank #33),Targeting >43% clean electricity mix
Hindustan Zinc,HINDZINC,Large Cap,Metals & Mining,Metals & Mining,601.0,19.0,53.0,102.0,156.0,220.0,294.0,380.9,19.0,571.3,8.2,3.8,4.4,2513.7,Group Captive Solar & Rooftop PV (SEBI Rank #34),Targeting >44% clean electricity mix
Power Grid Corpn,POWERGRID,Large Cap,Power Utilities & Cleantech,Renewable Energy & Power,266.0,20.0,55.0,105.0,160.0,225.0,300.0,371.1,20.0,556.7,8.2,3.8,4.4,2449.5,Group Captive Solar & Rooftop PV (SEBI Rank #35),Targeting >45% clean electricity mix
JSW Energy Ltd,JSWENERGY,Large Cap,Power Utilities & Cleantech,"Solar, Wind & Pumped Hydro Developer",539.85,1.7,-26.4,23.4,79.7,38.5,857.2,3200.0,45.0,4800.0,7.7,3.25,4.45,2136.0,"Solar, Wind & Pumped Hydro Developer","20 GW by 2030, 85% RE share"
Solar Industries,SOLARINDS,Large Cap,Power Utilities & Cleantech,Renewable Energy & Power,21445.0,32.0,34.0,96.0,163.0,240.0,327.0,291.1,32.0,436.7,8.2,3.8,4.4,1921.5,Group Captive Solar & Rooftop PV (SEBI Rank #47),Targeting >57% clean electricity mix
HDFC Bank,HDFCBANK,Large Cap,Banking & Financial Services,BFSI,712.1,-12.0,-9.0,9.0,32.0,65.0,108.0,219.5,13.0,329.2,8.9,3.7,5.2,1711.8,Group Captive Solar & Rooftop PV (SEBI Rank #3),Targeting >38% clean electricity mix
Adani Energy Sol,ADANIENSOL,Large Cap,Power Utilities & Cleantech,Renewable Energy & Power,1409.6,38.0,46.0,114.0,187.0,270.0,363.0,258.6,38.0,387.9,8.2,3.8,4.4,1706.8,Group Captive Solar & Rooftop PV (SEBI Rank #53),Targeting >63% clean electricity mix
Vedanta Aluminium Metal,VAML,Large Cap,Metals & Mining,Metals & Mining,437.75,39.0,48.0,117.0,191.0,275.0,369.0,256.8,39.0,385.2,8.2,3.8,4.4,1694.9,Group Captive Solar & Rooftop PV (SEBI Rank #54),Targeting >64% clean electricity mix
ICICI Bank,ICICIBANK,Large Cap,Banking & Financial Services,BFSI,1423.2,-11.0,-7.0,12.0,36.0,70.0,114.0,204.3,14.0,306.5,8.9,3.7,5.2,1593.8,Group Captive Solar & Rooftop PV (SEBI Rank #4),Targeting >39% clean electricity mix
