Company Name,Ticker,Cap Tier,Sector,1Y Ret (%),2Y Ret (%),3Y Ret (%),4Y Ret (%),5Y Ret (%),6Y Ret (%),RE Installed (MW),RE Power Share (%),Annual Green Units (MU),Grid Tariff (₹/kWh),Solar Cost (₹/kWh),Unit Shield (₹/kWh),Annual Cost Shielded (₹ Cr),Primary RE Model,Targets & Commitments
Tata Motors Ltd,TATAMOTORS,Large Cap,Automotive & Ancillary,12.5,28.0,45.0,65.0,95.0,130.0,152.0,51.0,220.0,8.8,3.8,5.0,110.0,Rooftop Solar on Pune/Sanand + TPREL Hybrid,100% RE in manufacturing by 2030
Mahindra & Mahindra Ltd,M&M,Large Cap,Automotive & Ancillary,-7.5,2.4,104.0,150.0,294.7,421.5,78.0,45.0,160.0,8.9,3.8,5.1,81.6,Group Captive Solar with Mahindra Susten,100% RE by 2030 (EP100 & RE100)
Bharat Forge Ltd,BHARATFORG,Mid Cap,Automotive & Ancillary,61.3,29.0,79.2,181.2,165.2,337.0,52.0,36.0,135.0,8.9,3.8,5.1,68.9,Group Captive Solar in Maharashtra,Carbon Neutral by 2040
Apollo Tyres Ltd,APOLLOTYRE,Mid Cap,Automotive & Ancillary,-8.9,-21.4,16.9,54.6,90.9,229.3,48.0,32.0,120.0,8.6,3.75,4.85,58.2,Open Access Solar in AP & Gujarat,25% Carbon Intensity cut by 2026
CEAT Ltd,CEATLTD,Mid Cap,Automotive & Ancillary,-1.5,5.6,57.1,111.8,152.2,233.6,38.0,34.0,95.0,8.7,3.8,4.9,46.6,Rooftop Solar + Captive Solar PPA,50% RE by 2030
Ashok Leyland Ltd,ASHOKLEY,Mid Cap,Automotive & Ancillary,18.5,43.6,91.0,121.4,152.6,354.3,55.0,60.0,115.0,8.8,3.7,5.1,58.7,Rooftop Solar & Wind PPA in Tamil Nadu,100% RE across manufacturing by 2030
Exide Industries Ltd,EXIDEIND,Mid Cap,Automotive & Ancillary,8.6,-15.6,62.8,170.3,138.0,157.2,35.0,26.0,82.0,8.4,3.8,4.6,37.7,Rooftop Solar + Haldia captive park,50% RE by 2030
Gabriel India Ltd,GABRIEL,Small Cap,Automotive & Ancillary,14.7,162.9,310.2,781.9,782.2,1189.1,6.5,32.0,14.0,8.9,3.8,5.1,7.1,Rooftop Solar on factory sheds,50% RE by 2028
Lumax Auto Tech Ltd,LUMAXTECH,Small Cap,Automotive & Ancillary,56.4,247.6,440.0,596.9,1295.7,1894.6,8.0,26.0,18.0,8.8,3.8,5.0,9.0,Rooftop Solar installations,40% RE by 2030
Subros Ltd,SUBROS,Small Cap,Automotive & Ancillary,-34.5,-6.3,82.6,95.3,116.3,177.0,5.5,22.0,12.0,8.7,3.8,4.9,5.9,Rooftop Solar PV,35% RE by 2029
Sharda Motor Industries,SHARDAMOTR,Small Cap,Automotive & Ancillary,-15.6,-63.6,-9.7,8.2,44.7,417.7,4.5,20.0,10.0,8.8,3.8,5.0,5.0,Rooftop Solar on manufacturing units,30% RE by 2030
