Company Name,Sector,Ticker,Total Green Capacity (MW),Solar / Wind Installed (MW),Renewable Power Share (%),Annual Green Power Consumed (MU / Million kWh),Avg Grid Tariff (Rs/kWh),Green Power Landed Cost (Rs/kWh),Cost Shielded / Unit Saved (Rs/kWh),Est Annual Cost Shielded (Rs Crore),Key RE Sourcing Model
UltraTech Cement Ltd,Cement & Building Materials,ULTRACEMCO,"1,363 MW (1,021 MW RE + 342 MW WHRS)","1,021 MW","32% (Target: 85% by 2030, 100% by 2050)","3,600 MU",8.20,3.80,4.40,"1,584 Cr",Group Captive Solar/Wind + Onsite WHRS + RE100
Reliance Industries Ltd (RIL),"Conglomerate (Oil, Retail, Telecom)",RELIANCE,Target 100 GW RE by 2030 (Kutch RE Hub + Jamnagar Giga Complex),247+ MW captive solar (Jio cell sites + 35 MWp Bidar plant),~10% currently (Target: 40 Billion units/yr green electricity by 2026),"1,200 MU (Scaling towards 40,000 MU)",7.80,3.40,4.40,"528 Cr (Scaling to >16,000 Cr by 2030)",Captive Solar Giga Complex + Tower Solarization + Green H2
Tata Steel Ltd,Steel & Heavy Metals,TATASTEEL,"1,036 MW captive RE pipeline/installed",451.5 MW Solar + 587 MW Wind (incl. 72.5 MW Kalasar solar),16% (Target: 50% by 2030),"2,100 MU",8.00,3.90,4.10,861 Cr,Group Captive with Tata Power Renewable (TPREL) - Sprint to Zero
JSW Steel Ltd,Steel & Metals,JSWSTEEL,"782 MW commissioned (Target: 1,000 MW Phase 1 + 1,500 MW Phase 2)",782 MW (Solar & Wind at Vijayanagar & Salem),14% (Target: 100% captive green by 2050),"1,750 MU",7.90,3.85,4.05,708 Cr,Group Captive PPA with JSW Energy
Shree Cement Ltd,Cement & Materials,SHREECEM,666.5 MW green power (350 MW Solar & Wind + 274 MW WHRS),350 MW Solar & Wind,55% - 63% (Top green power consumer in Indian heavy industry),"1,950 MU",8.10,3.60,4.50,877 Cr,Captive Solar/Wind parks + extensive WHRS
Dalmia Bharat Ltd,Cement,DALBHARAT,410 MW green power (136 MW Solar + Wind + WHRS),136 MW Solar + Wind,"46% - 48% (Target: 100% by 2030, RE100)",850 MU,8.00,3.70,4.30,365 Cr,Onsite Solar + Offsite Open Access + Carbon Negative by 2040
Infosys Ltd,Information Technology,INFY,60 MW captive PV + offsite PPAs,60 MW captive rooftop & ground solar PV,77.7% of India electricity (RE100 Signatory),285 MU,9.20,3.50,5.70,162 Cr,Campus Rooftop PV + Offsite Green PPA + Carbon Neutrality
ITC Limited,"FMCG, Paper & Packaging, Hotels",ITC,177 MW - 205 MW Solar & Wind,177 MW dedicated solar & wind assets,>50% of total energy consumption,420 MU,8.50,3.75,4.75,199 Cr,Open Access Solar/Wind + Rooftop Solar + Biomass substitution
Hindalco Industries Ltd,Aluminium & Copper (Metals),HINDALCO,190 MW operational (expanding to 470 MW; 100-350 MW RTC Greenko tie-up),190 MW Solar & Wind,~8% (scaling rapidly for smelter decarbonization),650 MU,7.50,3.80,3.70,240 Cr,Round-the-Clock (RTC) Renewable PPA + Hydro storage
Tata Motors Ltd,Automotive,TATAMOTORS,131 MW Hybrid PPA + 21 MW Rooftop Solar (~152 MW),152 MW equivalent captive/PPA,51% of India operations (FY25-26),220 MU,8.80,3.80,5.00,110 Cr,Rooftop Solar on Pune/Sanand + 131 MW Hybrid PPA with TPREL
Bharti Airtel Ltd (incl. Nxtra),Telecom & Data Centers,BHARTIARTL,"482,800 MWh contracted green power + 28,000 solarized cell sites",~120 MW equivalent solar/hybrid PPAs + onsite rooftop,49% in Nxtra Data Centers (RE100 member),483 MU,9.50,4.20,5.30,256 Cr,Open Access Solar/Wind for Data Centers + Telecom Tower solar
Larsen & Toubro Ltd (L&T),Engineering & Construction,LT,65 MW captive solar/wind installations across manufacturing hubs,65 MW,"38% across major campuses (Hazira, Chennai, etc.)",145 MU,8.40,3.90,4.50,65 Cr,Rooftop & Ground Solar at Heavy Engineering Facilities
Mahindra & Mahindra Ltd,Automotive & Farm Equipment,M&M,78 MW (Solar & Wind PPAs + Rooftop),78 MW,45% (EP100 & RE100 participant),160 MU,8.90,3.80,5.10,81 Cr,Group Captive Solar with Mahindra Susten + Factory Rooftops
